Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
47,783.333313,Sedan,4.93,1.86,1.48,-121.788429,-0.468028,0.04377,17.151455,17.135027,0.75048,0.609342,-0.057129,Truck,13.465333,3.068987,4.177894,-151.422409,6.095967,0.0102,Car,5.57548,2.385468,1.880301,-147.140305,-1.31099,0.018282,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
48,800.0,Sedan,4.93,1.86,1.48,-121.496956,-0.455286,0.043687,17.161757,17.145382,0.749507,0.609117,-0.057231,Truck,13.465333,3.068987,4.177894,-151.145203,6.098762,0.009966,Car,5.57548,2.385468,1.880301,-146.876816,-1.306185,0.018188,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
49,816.666687,Sedan,4.93,1.86,1.48,-121.222473,-0.443309,0.043609,17.171457,17.155132,0.74859,0.609398,-0.057328,Truck,13.465333,3.068987,4.177894,-150.867935,6.101492,0.009726,Car,5.57548,2.385468,1.880301,-146.613327,-1.301403,0.01811,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,833.333313,Sedan,4.93,1.86,1.48,-120.930656,-0.430599,0.043526,17.181761,17.165487,0.747614,0.609117,-0.057431,Truck,13.465333,3.068987,4.177894,-150.590622,6.104156,0.009478,Car,5.57548,2.385468,1.880301,-146.349854,-1.296639,0.018048,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
51,850.0,Sedan,4.93,1.86,1.48,-120.638664,-0.417907,0.043443,17.192066,17.175846,0.746636,0.609342,-0.057522,Truck,13.465333,3.068987,4.177894,-150.313217,6.10675,0.009225,Car,5.57548,2.385468,1.880301,-146.08638,-1.29189,0.018002,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
52,866.666687,Sedan,4.93,1.86,1.48,-120.363693,-0.405975,0.043365,17.201767,17.185595,0.745714,0.609279,-0.05763,Truck,13.465333,3.068987,4.177894,-150.035721,6.109275,0.008974,Car,5.57548,2.385468,1.880301,-145.822906,-1.287151,0.017973,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
53,883.333313,Sedan,4.93,1.86,1.48,-120.071365,-0.393315,0.043282,17.212069,17.19595,0.744733,0.609117,-0.057725,Truck,13.465333,3.068987,4.177894,-149.758133,6.111731,0.008723,Car,5.57548,2.385468,1.880301,-145.559418,-1.282417,0.017958,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
54,900.0,Sedan,4.93,1.86,1.48,-119.778854,-0.380671,0.043199,17.222374,17.206306,0.74375,0.60923,-0.057824,Truck,13.465333,3.068987,4.177894,-149.480438,6.114119,0.008473,Car,5.57548,2.385468,1.880301,-145.295929,-1.277685,0.017958,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
55,916.666687,Sedan,4.93,1.86,1.48,-119.503395,-0.368786,0.04312,17.232073,17.216055,0.742823,0.609279,-0.057925,Truck,13.465333,3.068987,4.177894,-149.202667,6.116438,0.008224,Car,5.57548,2.385468,1.880301,-145.03241,-1.27295,0.017974,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
56,933.333313,Sedan,4.93,1.86,1.48,-119.210548,-0.356175,0.043037,17.242378,17.226412,0.741837,0.60923,-0.058016,Truck,13.465333,3.068987,4.177894,-148.924789,6.118689,0.007976,Car,5.57548,2.385468,1.880301,-144.76889,-1.26821,0.018004,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
